,Date,Event,Venue,Time Contact,Unnamed: 4,Officially
0,,,,,,Measured
1,,,,2018,,
2,,,December 2018,,,
3,Sat 15,Belfast Telegraph Run,"Village Square,",11am Gerard Rowe 07855586438,,
4,,Forest Run Kilbroney,Rostrevor,info@born2runevents.com,,
5,,,,www.born2runevents.com,,
6,Sat 15,Atlas Running Christmas,Sir Thomas &,3pm Adrian Daye 07876560015,,
7,,Party 5k,Lady Dixon Park,atlas@atlasrunning.co.uk,,
8,,,,www.atlasrunning.co.uk,,
9,Sat 15,All Ireland Uneven Age,Navan,TBC Athletics NI 02890602707,,
10,,Group & Novice Cross,Racecourse,info@athleticsni.org,,
11,,Country,,,,
12,Sat 15,North West XC,U3A Foyle,12.30pm Gerry Lynch 07702006667,,
13,,,,gerry.lynch@hotmail.com,,
14,Sat 15,Sperrin Harriers Winter,Lough Fea,12 noon Colm Gallagher 07866056169,,
15,,League Lough Fea 5k,,winterleague@sperrinharriers.co.uk,,
16,,,,www.sperrinharriers.co.uk/winter-trail-series,,
17,Sun,Hazelbank Christmas Run,Hazelbank,11am Nuala Muldoon 07578521679,,
18,23,and 1 Mile Fun Run,Carpark,legiteventsni@gmail.com,,
19,,,,www.facebook.com/events/24488625618990,,
20,,,,2,,
21,Weds,Church of Ireland Young,Belmont Park,12 noon Derek Cowan 07803012676,,
22,26,Men’s Society Boxing Day,,dekecowan@hotmail.com,,
23,,Charity Run,,,,
24,Weds,Larne AC Boxing Day Run,Glynn Rugby Club,11am Ruth Moore 07929333982/ 02828583154,,√
25,26,,,Ruthmoore844@btinternet.com,,
26,,,,www.larneac.co.uk,,
27,Weds,Brocagh Bay Boxing Day,Castlebay,10.15am Ciaran McCloskey 07796103641,,√
28,26,Run,Community Centre,brocaghbayrun@hotmail.com,,
29,,,,www.brocaghbayrun.co.uk,,
30,Weds,33rd Annual Greencastle 5,Greencastle,12 noon Oliver McCullagh 07767718029,,√
31,26,Mile Road Race,Community Centre,info@greencastle5.com,,
32,Weds,Burren Townlands Run,Burren Heritage,10.30am Brian Laverty 07767271374,,
33,26,,Centre,blaverty@delahunt-laverty.co.uk,,
34,Fri 27,Muff Glen Forest Trail Run,Muff Glen Forest,11am Mervyn Kelly 07740086067,,
35,,,Park,mervynkelly@hotmail.com,,
36,,,,www.northernvelocity.co.uk,,
37,Sat 29,Castlewellan Christmas,"Main Street,",1pm Richard Rodgers 07584292495,,
38,,Cracker,Castlewellan,rodgers63@icloud.com,,
39,,,,www.newcastleac.org,,
40,Mon,Lough 5 Road Race,Loughmacrory,12 noon Anne Logue 07810437355,,
41,31,,,lough5@live.co.uk,,
42,,,,www.lough5.com,,
43,,,,2019,,
44,,,,January 2019,,
45,Tues 1,Rock New Year’s Day Run,Rock Primary,12 noon Cyril Cush 07841102113,,
46,,,School,info@rocknewyearsdayrun.co.uk,,
47,,,,www.rocknewyearsdayrun.co.uk,,
48,Tues 1,Race Over The Glens,Glenariff Forest,12 noon Stephen Brown 07885649135,,√
49,,,Park,ballymenarunners@hotmail.com,,
50,Sat 5,Belfast Telegraph Run,Tollymore Forest,11am Gerard Rowe 07855586438,,
51,,Forest Run Tollymore,Park,info@born2runevents.com,,
52,,,,www.born2runevents.com,,
53,Sat 5,North Down Festival of,Castle Park,11.30am Clare Russell 07901823349,,
54,,Cross Country,Bangor,northdownac@gmail.com,,
55,,,,www.northdownac.co.uk,,
56,Sat 12,Sperrin Harriers Winter,An Creagan,12 noon Colm Gallagher 07866056169,,
57,,League An Creagan 5 Mile,Centre,winterleague@sperrinharriers.co.uk,,
58,,,,www.sperrinharriers.co.uk/winter-trail-series,,
59,Sun 13,Mathieson Cup and Shield,City of Belfast,11am Paul Skillen 07814245674,,
60,,,"Playing Fields,",pskillen01@qub.ac.uk,,
61,,,Mallusk,www.malluskharriers.co.uk,,
62,Sat 19,Belfast Telegraph Run,Gosford Forest,11am Gerard Rowe 07855586438,,
63,,Forest Run Gosford 5k &,Park,info@born2runevents.com,,
64,,10k,,www.born2runevents.com,,
65,Sat 19,"IAAF International, Celtic",Billy Neill Playing,TBC Athletics NI 02890602707,,√
66,,& Home Countries Cross,Fields,info@athleticsni.org,,
67,,Country,,,,
68,Sun 20,Ballykelly Trail Race,TBC,TBC Pending Permit,,
69,Sun 20,McGrady’s Junior XC,Delamont,1.30pm Joe Quinn 07395814122/ 02844614235,,
70,,League- East Down Round,,Jaykwin69@gmail.com,,
71,Fri 25,FEARR The Night 10k,Clandeboye,7pm Chris Stevenson 07970831940,,
72,,,Estate Courtyard,chris.stevenson@sylvania-lighting.com,,
73,Sat 26,NI & Ulster Intermediate &,Barnett’s,TBC Athletics NI 02890602707,,√
74,,Masters XC,Demesne,info@athleticsni.org,,
75,Sat 26,St Patrick’s College,Dungiven Sports,2.30pm Conor Lavery 02877741324,,
76,,Dungiven 10k & 5k,Centre,clavery598@c2kni.net,,
77,,,,www.stpatrickscollege.co.uk,,
78,,,,February 2019,,
79,Sat 2,Sperrin Harriers Winter,Drum Manor,12 noon Colm Gallagher 07866056169,,
80,,League Drum Manor Forest,,winterleague@sperrinharriers.co.uk,,
81,,10k,,www.sperrinharriers.co.uk/winter-trail-series,,
82,Sat 2,Moira XC,Moira Demesne,11.45am Eric Frizzell 07764658053/ 02892611842,,
83,,,,eric.frizzell1@btinternet.com,,
84,Sat 2,Belfast Telegraph Run,Antrim Castle,11am Gerard Rowe 07855586438,,
85,,Forest Run Antrim Castle,Gardens,info@born2runevents.com,,
86,,Gardens,,www.born2runevents.com,,
87,Sat 2,St Patrick’s PTA 5k & 10k,"Church Street,",11am Julian McGale 02879642451/ 07776201045,,
88,,Run,Maghera,jmcgale839@c2kni.net,,
89,Sun 3,SVP 10 Mile Run,Mid Ulster Sports,11am John Meenan 07904561089,,
90,,,Arena,john.meenan@fslelectronics.com,,
91,Sat 9,Stormont XC,Stormont,11am Mags Mathieson 07402785109,,
92,,,,mags.mathieson@yahoo.co.uk,,
93,Sat 9,Omagh CBS 10k & 5k Run,"CBS Grammar,",11am Mr C McBride 02882243567,,
94,,,Omagh,info@cbs.omagh.ni.sch.uk,,
95,Sat 9,Randal Run,"Shane’s Castle,",1.45pm Ronan Lavery 07734404420,,
96,,,Randalstown,rlavery99@gmail.com,,
97,Thurs,Armagh International Road,"The Mall, Armagh",6.30pm James Vallely 07432477385,,√
98,14,Races 2019,,craobh@btinternet.com,,
99,Thurs,Love Running 5k,TBC,TBC Pending Permit,,
100,14,,,,,
101,Sat 16,Sperrin Harriers Winter,Parkanaur Forest,12 noon Colm Gallagher 07866056169,,
102,,League Parkanaur Forest,,winterleague@sperrinharriers.co.uk,,
103,,10 Mile,,www.sperrinharriers.co.uk/winter-trail-series,,
104,Sat 16,Last One Standing,"Bunk House,",12 noon Adrian Daye 07876560015,,
105,,,Castle Ward,atlas@atlasrunning.co.uk,,
106,,,,www.atlasrunning.co.uk,,
107,Sat 16,Castle Ward Trail Races,"Bunk House,",8.4 mile- Adrian Daye 07876560015,,
